21Shares Bitcoin ETP (21Shares AG/CH0454664001/CHF)		
        24.03.2022
        Date;Price;Volume
24.03.2022;14.35;2664
23.03.2022;13.942;1375
22.03.2022;14;3812
21.03.2022;13.502;1146
18.03.2022;13.37;2530
17.03.2022;13.488;4080
16.03.2022;13.434;5787
15.03.2022;12.82;475
14.03.2022;12.86;3844
11.03.2022;12.84;1440
10.03.2022;12.79;15945
09.03.2022;13.798;5391
08.03.2022;12.702;5895
07.03.2022;12.842;8926
04.03.2022;13.188;3561
03.03.2022;13.716;5778
02.03.2022;14.536;12567
01.03.2022;14.166;12489
28.02.2022;13.2;2097
25.02.2022;12.856;12280
24.02.2022;11.744;20390
23.02.2022;12.47;8375
22.02.2022;12.23;6004
21.02.2022;12.568;11387
18.02.2022;13.012;3580
17.02.2022;13.582;7110
16.02.2022;14.134;3550
15.02.2022;14.498;6300
14.02.2022;13.858;2035
11.02.2022;14.224;4187
10.02.2022;14.63;13302
09.02.2022;14.29;5112
08.02.2022;14.242;10787
07.02.2022;14.254;17908
04.02.2022;13.13;14742
03.02.2022;11.982;4404
02.02.2022;12.034;13671
01.02.2022;12.652;6792
31.01.2022;12.402;7396
28.01.2022;12.22;17242
27.01.2022;11.98;19694
26.01.2022;12.398;13230
25.01.2022;11.898;18397
24.01.2022;11.088;71982
21.01.2022;12.484;22188
20.01.2022;13.954;17135
19.01.2022;13.328;550
18.01.2022;13.368;7647
17.01.2022;13.78;360
14.01.2022;13.926;5592
13.01.2022;14.184;4550
12.01.2022;14.03;26682
11.01.2022;13.598;93774
10.01.2022;13.602;25400
07.01.2022;13.298;22942
06.01.2022;13.958;41170
05.01.2022;15;6164
04.01.2022;15.072;1847
03.01.2022;15.066;23595
30.12.2021;15.276;5367
29.12.2021;15.444;12351
28.12.2021;15.942;5692
27.12.2021;16.696;2716
23.12.2021;15.872;3043
22.12.2021;16;850
21.12.2021;15.85;3976
20.12.2021;14.96;15334
17.12.2021;15.392;6972
16.12.2021;15.874;6752
15.12.2021;15.396;3089
14.12.2021;15.218;29827
13.12.2021;15.278;5584
10.12.2021;15.482;13947
09.12.2021;15.93;10362
08.12.2021;16.576;9951
07.12.2021;16.91;8199
06.12.2021;15.964;40441
03.12.2021;17.992;4693
02.12.2021;18.31;9137
01.12.2021;19.128;6938
30.11.2021;18.7;18404
29.11.2021;18.72;9653
26.11.2021;17.668;12880
25.11.2021;19.482;31459
24.11.2021;18.688;9235
23.11.2021;19.008;4863
22.11.2021;19.062;10585
19.11.2021;19.02;33136
18.11.2021;18.79;28319
17.11.2021;19.65;11730
16.11.2021;20.03;52531
15.11.2021;20.935;1485
12.11.2021;20.7;7070
11.11.2021;21.21;29363
10.11.2021;22.17;7052
09.11.2021;21.475;15512
08.11.2021;21.405;12514
05.11.2021;19.674;11740
04.11.2021;19.83;11134
03.11.2021;20.17;15136
02.11.2021;20.625;2736
01.11.2021;19.824;20324
29.10.2021;20.235;6078
28.10.2021;19.846;5642
27.10.2021;19.224;34695
26.10.2021;20.225;24630
25.10.2021;20.595;74041
22.10.2021;19.876;20617